GUID 066a8936872247d6b31efdb38814fa87

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 30146

Magazine 30147
Sight 148

Ammo_Min 1
Ammo_Max 1

Semi

Caliber 58120

Range 1200
Firerate 1
Action Trigger

Ballistic_Force 20
Ballistic_Steps 100
Ballistic_Travel 12
Ballistic_Drop 0.003

Player_Damage 100
Player_Leg_Multiplier 3
Player_Arm_Multiplier 3
Player_Spine_Multiplier 3
Player_Skull_Multiplier 3

Zombie_Damage 99
Zombie_Leg_Multiplier 1.1
Zombie_Arm_Multiplier 1.1
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 1.1
Animal_Spine_Multiplier 1.1
Animal_Skull_Multiplier 1.1

Barricade_Damage 200
Structure_Damage 200
Vehicle_Damage 1400
Resource_Damage 1000
Object_Damage 200

Invulnerable

Spread_Aim 0.2
Spread_Hip 0.025

Recoil_Min_X -0.1
Recoil_Min_Y 0.3
Recoil_Max_X 0.1
Recoil_Max_Y 0.5

Recover_X 0.5
Recover_Y 0.5

Muzzle 4

Reload_Time 5
Turret
Bypass_Hash_Verification
