GUID d8c0537620164103beaf6c48bf07c976
Type Gun
Useable Gun
Slot Primary
ID 30030

Size_X 5
Size_Y 2
Size_Z 0.4

Grip 30036
Magazine 30031

Hook_Sight
Hook_Tactical
Hook_Barrel

Ammo_Min 10
Ammo_Max 10

Safety
Semi

Caliber 55

Range 350
Firerate 3
Action Bolt

Player_Damage 99
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 1.5
Zombie_Arm_Multiplier 1.5
Zombie_Spine_Multiplier 1.5
Zombie_Skull_Multiplier 1.5

Animal_Damage 99
Animal_Leg_Multiplier 1.5
Animal_Spine_Multiplier 1.5
Animal_Skull_Multiplier 1.5

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 0
Resource_Damage 30

Invulnerable

Durability 1

Spread_Aim 0.001
Spread_Hip 0.35

Ballistic_Steps 27
Ballistic_Travel 14.5

Recoil_Aim 0.05
Recoil_Min_X -4
Recoil_Min_Y 25
Recoil_Max_X -5
Recoil_Max_Y 30

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 4

Reload_Time 13

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 30030
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
Bypass_Hash_Verification

Asset_Bundle_Version 3

	
