GUID 5bb50d4764c246d4b6c9a387feb2ba98
Type Gun
Useable Gun
Slot Primary
ID 30257

Size_X 5
Size_Y 2
Size_Z 0.4

Magazine 30031
Sight 30254

Hook_Tactical
Hook_Barrel
Hook_Grip

Ammo_Min 10
Ammo_Max 10

Safety
Semi

Caliber 55

Range 600
Firerate 54
Action Bolt

Player_Damage 100
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.2
Instakill_Headshots True

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 0
Resource_Damage 30

Invulnerable

Durability 1

Spread_Aim 0.001
Spread_Hip 0.35

Ballistic_Steps 27
Ballistic_Travel 14.5

Recoil_Aim 0.05
Recoil_Min_X -4
Recoil_Min_Y 25
Recoil_Max_X -5
Recoil_Max_Y 30

Recover_X 0.25
Recover_Y 0.25

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.03
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.06

Muzzle 4


Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 30257
Blueprint_1_Product 67
Blueprint_1_Products 2
Blueprint_1_Build 27
Bypass_Hash_Verification

