GUID 880e4b22003c4b649e537d3e5f48dcc6
Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 30004

Size_X 2
Size_Y 2
Size_Z 0.4
Size2_Z 0.4

Magazine 30005

Hook_Tactical
Hook_Barrel

Ammo_Min 3
Ammo_Max 7

Safety
Semi

Caliber 55

Range 110
Firerate 1
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 99
Zombie_Leg_Multiplier 1.1
Zombie_Arm_Multiplier 1.1
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 5
Vehicle_Damage 0
Resource_Damage 15
Object_Damage 15

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.15

Recoil_Min_X -0.4
Recoil_Min_Y 2
Recoil_Max_X -0.6
Recoil_Max_Y 3	

Recover_X 0.4
Recover_Y 0.4

Shake_Min_X -0.01
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.01
Shake_Max_Z -0.075

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 14412
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27

Bypass_Hash_Verification

