GUID 9c38927e6cc14617a9000b5ff2926b58
Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 30053

Sight 1301
Magazine 30054

Ammo_Min 150
Ammo_Max 200

Auto

Caliber 1008

Range 1000
Firerate 6
Action Trigger
Ammo_Per_Shot 4

Ballistic_Force 100
Ballistic_Steps 100
Ballistic_Travel 8
Ballistic_Drop 0.001

Player_Damage 80
Player_Leg_Multiplier 1.1
Player_Arm_Multiplier 1.1
Player_Spine_Multiplier 1.1
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 50
Object_Damage 20

Spread_Aim 0.2
Spread_Hip 0.025

Recoil_Min_X -0.1
Recoil_Min_Y 0.05
Recoil_Max_X 0.1
Recoil_Max_Y 0.1

Recover_X 0.5
Recover_Y 0.5

Muzzle 3

Reload_Time 4
Turret
Bypass_Hash_Verification
Exclude_From_Master_Bundle
