GUID f0c872f501184e0a816e4248e79f9eb8
Type Gun
Useable Gun
Slot Secondary
ID 14220

Size_X 2
Size_Y 2
Size_Z 0.4

Magazine 14221
Barrel 117

Ammo_Min 3
Ammo_Max 6

Safety
Semi

Caliber 3

Range 75
Firerate 50
Action Bolt

Player_Damage 95
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.8
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.9

Zombie_Damage 99
Zombie_Leg_Multiplier 1.1
Zombie_Arm_Multiplier 1.1
Zombie_Spine_Multiplier 1.1
Zombie_Skull_Multiplier 1.1

Animal_Damage 99
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 5
Vehicle_Damage 0
Resource_Damage 15

Durability 0.1

Spread_Aim 0.01
Spread_Hip 0.5

Ballistic_Steps 30
Ballistic_Travel 15

Recoil_Min_X -25
Recoil_Min_Y 20
Recoil_Max_X -20
Recoil_Max_Y 25

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.05
Shake_Max_X 0.005
Shake_Max_Y -0.005
Shake_Max_Z -0.1

Muzzle 3

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 67
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Tool 76
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 14220
Blueprint_1_Product 67
Blueprint_1_Products 1
Blueprint_1_Build 27

Bypass_Hash_Verification

